firefox_issue_id,firefox_issue_text,firefox_create_time,distance,brave_issue_id,brave_issue_text,brave_create_time,1,2,3,acc@1,acc@2,acc@3,MRR,,,,,
589771557,There should be an Open in App option in Custom Tabs,2020/3/29,0.9584,596122212,[Android] Open tabs in Custom Tabs option,2020/4/7,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
565146648,Search Keywords are not supported. ,2020/2/14,0.9447,626084261,Search Settings not Working,2020/5/27,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
720659056,[Bug] Notification click doesn't open target URL,2020/10/13,0.9385,737956976,Clicking URLs outside of Brave opens blank browser window with no URL,2020/11/6,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
577247331,Share of AMP page shares AMP URL instead of canonical URL [Bug],2020/3/7,0.9353,737956976,Clicking URLs outside of Brave opens blank browser window with no URL,2020/11/6,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.50 ,
559279817,Provide add-on support ,2020/2/3,0.9334,696014567,Add ephemeral DOM Storage support,2020/9/8,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.33 ,0.33 ,0.00 ,
569754545,"Do not capitalize THIS TIME, SEARCH WITH above alt search engines",2020/2/24,0.9333,590426145,[P3A] Ask about switching search engines,2020/3/30,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.33 ,0.33 ,0.00 ,
661878608,"When switching tabs, newly active tabs always reload",2020/7/20,0.9333,742943841,"Rename Sync ""Open Tabs"" to ""Recent tabs""",2020/11/14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
548645074,[Bug] URL bar shows incorrect data,2020/1/12,0.9307,723734853,[bugs] previous searches showing when clicking url bar,2020/10/17,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.50 ,0.00 ,0.50 ,0.50 ,
650876779,[Bug] Qwant missing from the list of search engines,2020/7/4,0.9302,664966089,Updated pre-populated search engine list,2020/7/24,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,
590809611,[Bug] URL Bar not visible on restored page,2020/3/31,0.9295,723734853,[bugs] previous searches showing when clicking url bar,2020/10/17,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
