owncloud_issue_id,owncloud_issue_text,owncloud_issue_body,owncloud_create_time,distance,nextcloud_review_id,nextcloud_review_text,nextcloud_create_time,bug 1,bug 2,Ô­150Ìõ,,,
331948068,direcly show login screen on saml expiration,fixes https://github.com/owncloud/android/issues/2238#issuecomment-396660454,2018/6/13 11:09,0.8953,gp:AOqpTOFIWatBP0xjF7EWFkjobuexLwmCFZxh_65ZOxW3H2gCptadyQOf0TCoD8hz4krvPVMpvDMya3xbtDQDEDc,Stuck in a login loop. This issue has been on their GitHub (#3623) for 2 years and remains unfixed.,2022/3/5 16:37,,,,,,
13337686,Downloaded shared files stay on device if share is removed,"### Expected behaviour

If a share (not the files) is removed, downloaded files within this share should not be visible in app and this files should get removed from device.
### Actual behaviour

Files do not show in android app but remain on device.
### Steps to reproduce
1. Create a share for an account
2. Download some files within
3. Remove share
4. View downloaded files in file manager
### Environment data

Android version: 4.1.2

Device model: Samsung Galaxy S2

Stock or customized system: Stock

ownCloud app version: 1.3.20

ownCloud server version: 4.5.7
",2013/4/18 7:49,0.8996,gp:AOqpTOFLbrnQJRB3GBiGidPDVoCOLmLVvm_8ds1WzOLD7S5F1Qz-9DiFPrSwBMK6MpIpON8CjAWfJBJqzL2n_VI,"BUG: when using the share menu to upload multiple file to Nextcloud, the app uploads only one file, and forgets to upload the rest of the selections.",2022/3/4 21:19,https://github.com/nextcloud/android/issues/9964,https://github.com/nextcloud/android/issues/9965,,,,
34716380,[1.5.6] client ==> server updates do not work any more: a text file updated on my android is now never synchronized,"I have a small text on my Android (which I often update with Jota Editor), and which is flagged as ""to be synchronized"" with its server version.

However this automatic update mechanism (client ==> server) does not work any more in the 1.5.6 version.

What has been changed?
",2014/5/31 22:16,0.9188,gp:AOqpTOG0y2L9IQiVHaTw3yQZRCYRM5xllv6UYKc4HVRC9yukJrwnpzMgEa7dcJ-j6C6vvSd_nBzLBDdJ3W0lFJY,"Lots of issues if you reinstall client+ server. Files no longer sync properly. Some folders only sync on wifi although setup to always sync. Too bad, I wanted to replace onedrive",2022/2/14 23:03,https://github.com/nextcloud/android/issues/9966,,,,,
85587398,External Storage Errors Passed from Server to Mobile (Android),"As an ownCloud administrator, I would like a mechanism to pass external storage credential errors to the mobile clients so that users on their devices can address any problems with external storage, and continue to use ownCloud even after an error (in conjunction with: owncloud/core#16306 )

Acceptance Criteria:
- The error needs to be able to identify a problem with external storage and pass an error that does not cause the client to delete the directory, rather a temporary error that notifies the user that the directory is not syncing
- All errors are assumed to be temporary network or credential issues, rather than permanent failures
  - If external storage is permanently affected, the admin will have to remove it (or the user, if it is a personal mount) to resolve the errors
- The error needs to specifically identify the kind of problem (such as a credentials error), server not found error, etc
- The error also needs to specify a path so that the error can be addressed by the clients (such as opening a browser to the appropriate URL) and then allowing the user to resolve the issue. The error cannot be assumed to be in the root directory, as external storage can be moved around inside owncloud

iOS Version: https://github.com/owncloud/ios/issues/382

Desktop Version: https://github.com/owncloud/client/issues/3308

LONGER TERM:
The desktop clients would provide a communications path for passing messages to and from ownCloud clients (such as a credentials error AND a built in login screen) - so a general class of error that can be reused would be a good concept here. Related: owncloud/core#16772


____

BUGS & IMPROVEMENTS

- [X] Incorrect error message uploads https://github.com/owncloud/android/issues/1004#issuecomment-278648662 [FIXED]
- [X] Incorrect error message downloads  https://github.com/owncloud/android/issues/1004#issuecomment-278649569  [FIXED]",2015/6/5 17:28,0.8903,gp:AOqpTOEpQ1nfUF8A9P4Ii1CEeOpfk8fmkGO9zVUpcsUP3VCS0SB-IvrKUda1B1NYcPi3CSxWgxOmin8505BGO2Q,The app crashes when I go to the 'On Device' tab. I suspect there are network calls to the very slow server there in the ui thread.,2022/1/31 7:39,https://github.com/nextcloud/android/issues/9967,,,,,
169769062,"Auto upload, exif problem","### Actual behaviour

When the app automatically upload a picture after it's been taken, the exif of the image file indicate the date of the upload, not the original date and time of the picture.

If the upload succeed imediately after the photo shoot, there is not big problem. But when the upload fails, the exif of the image indicate the datetime of the retried upload, not the original exif.
### Expected behaviour

The exif of an uploaded image should always be the original one. Else, it mess up the order and the chronology and it's a problem.
### Environment data

Android version: up to date.

Device model: One Plus One

Stock or customized system: Cyanogen

ownCloud app version: up to date.

ownCloud server version: 9.0.1
",2016/8/6 22:11,0.9265,gp:AOqpTOFE7JP8qwK9dCCs-xezZx7MnuQPTtRmq8ODtQ021YBVk7lJme29N_HtX-zDXQ1d59ilZN3rh9M3c7kFUtU,Auto upload does not work. It's first function vi wanted to enroll...,2022/1/24 16:48,https://github.com/nextcloud/android/issues/9962,,,,,other posted it in the same time
50160551,File modification date lost when uploading file,"When uploading a file using the Android app the file creation date is set to the upload date.

Instead, the file creation date of the file from the Android file system should be used.

EDITED by @davivel: the creation date of the file suffers an ancient bug, not sure if fixable; BUT the MODIFICATION DATE of the file should be set with the upload. See https://github.com/owncloud/android/issues/761#issuecomment-115287988

EDITED by @davigonz: 

PR:  https://github.com/owncloud/android/pull/1849
PR android library: https://github.com/owncloud/android-library/pull/140",2014/11/26 12:07,0.8938,gp:AOqpTOGNKedm0ZGeGkygdb9c_AzRZpjx1MQZqdiEsw4WylYDEloWq_2Pq7t-Ddsj4lfVnTzepIRuoKoc0lCLz8o,Frequently crashes. Conflicting file dialogue fails to display every time. Folders I've requested for upload never get uploaded. Waste of time.,2022/1/24 15:55,,,,,,
43808834,"Changing the password causes no more refreshes and failing photo sync, which only re-install will fix","I just changed the password of my ownCloud account.

After that, on my android device, I tried changing the password for the ownCloud account. That seemed to be easy enough, and my new password was accepted without problems. After that, however, the ownCloud android client was constantly complaining about a ""failed synchronisation"" for the instant upload images. Also when navigating inside the owncloud app, even though some folder content was shown, it seemed to be outdated, as of most folders the subfolders (especially those I had never loaded before) were empty, and the spinner on the top never stopped turning (even for the folders where some content was shown).

Is there any log to check for the case when such problems happen?

I tried setting the password multiple times, I'm sure it was the correct one, it never worked

I then tried removing the account and recreating it, which also didn't change anything.

Next I tried ""force stopping"" the app and removing all its data, which also didn't help.

At last, I tried uninstalling and reinstalling the client (and the JellyBean workaround app, which still seems to be required on 4.4, correct?), and after recreating the account then, it finally worked again.

Anybody else seen this? Any log or so I can check for details as to why the simple password change procedure didn't work in my case?

Note: I didn't specifically check the version before reinstalling, but since automatic upgrades are enabled, I suppose it was the version 1.5.8 of the app before and after re-installation.

I'm currently trying a second password change to see if this behavior is reproducible in my environment. Edit: Not reproducible at the moment. So I'm closing this issue. Maybe it will be a guidance for others having a similar experience...
",2014/9/24 20:06,0.9142,gp:AOqpTOFRP8aZdKgwAv8qFGXXwZPtzPh7HEP40P-aOC--Gz_SHpbih8lIKdBZL9jDJW7FY2nI8YUNrbq5AtR4B2Y,The app is really useful but there is no option to disable the sync with the phone from the files we upload. I had to delete them manually each time.,2022/1/8 13:28,,,,,,
1158320846,"[FEATURE REQUEST] Open deeplinks in app, items in root folder (1st round)","Private links generated by the server, must be opened inside the oC Android app.

This is a first approach with specific ACs:

- App matching the host to be opened when private link is clicked. Not needed to brand this. Static.
- Working in only one account mode
- If the link points to a file, the file will be downloaded/displayed
- If the link points to a folder, the folder content will be displayed
- If a locking method is set up, the file/folder will be displayed after unlocking
- If device does not have connection but the file is already downloaded, file is displayed
- If device does not have connection but the folder is already discovered, content is displayed
- If the file/folder is not reachable, app is opened and error is shown (toast/snackbar/...)
- If no accounts are attached in the app, app is opened and error is shown (toast/snackbar/...) (feasible?)

Additional checks:

- Lack of URL in the scheme (or *) are valid as well.

### TASKS

- [ ] Research (if needed)
- [ ] Create branch feature/feature_name
- [ ] Development tasks
  - [ ] Implement whatever
  - [ ] ...
- [ ] Code review and apply changes requested
- [ ] Design test plan
- [ ] QA
- [ ] Merge branch feature/feature_name into master

### PR

- App
- Library (if needed)
",2022/3/3 11:56,0.8927,gp:AOqpTOE6s5AqwuqtmkriviaoNX_aMMbBTFFBgV_MNQ1zg_m02D7BTUXsib8qYWQb6WpgOEYfPV6pLldjN78U-B0,I have had a quite good experience so far with the app for the last months. One disappointment is the auto update feature. I am unable to sync my GeniusScan folder because it requires permission to access the deep folder (android/data) and i dont know how to give that permission to Nextcloud app. Will have to burn 14$ on GeniusScan Plus to sync with server.,2021/12/24 17:42,,,,,,
49869679,[Feedback mail] As an Android user I want to send more information on the attachment mail so that support know in advanced the App and the version,"AC:
- As an Android user I want to send  more information on the feedback attachment mail. Currently, it is only send: ""Feedback"", now I want it to be:  ""Feedback - android vX.X.X"" where x.x.x is the number of the installed version
",2014/11/24 9:24,0.9163,gp:AOqpTOEFrYlQfCnYhUq3LLmKe45wL4QnlkuphRNHG9-28NVhc1j5fwJbZ-yuUa-AL3b1ef3zuyqU_XV8r3eDKu0,"It's been over a week with the message on my app on a Android device: ""Server Not Available"". When I can use Nextcloud on my laptop. There is no support to contact and you csnt edit your own account.",2021/12/7 14:09,,,,,,
9506819,Option to make files/folders public,"It would be cool to make certain files or directories publicly accessibly from within the app and copy the URL to the clipboard.
This would enable/simplify sharing files (pictures etc.) in your Owncloud with friends.
",2012/12/25 2:12,0.89,gp:AOqpTOHNjwYzqlzFxe7eikpu6AQccJg2kftIwK_mPPBosZWh6HZZRsNQ2NdtMLGdyJBLe57i8FFFFZ7CmonzW9Q,"When I share multiple files from file explorer, for example 5, it only uploads 2 or 1 of them.",2021/12/6 15:19,,,,,,
